device_name	core	die	ram_kb	flash_kb	core_count
STM32F302RCTx	Cortex-M4	DIE422	40	256	1
STM32F302RDTx	Cortex-M4	DIE446	64	384	1
STM32F302RETx	Cortex-M4	DIE446	64	512	1
STM32F302VBTx	Cortex-M4	DIE422	32	128	1
STM32F302VCTx	Cortex-M4	DIE422	40	256	1
STM32F302VCYx	Cortex-M4	DIE422	40	256	1
STM32F302VDHx	Cortex-M4	DIE446	64	384	1
STM32F302VDTx	Cortex-M4	DIE446	64	384	1
STM32F302VEHx	Cortex-M4	DIE446	64	512	1
STM32F302VETx	Cortex-M4	DIE446	64	512	1
STM32F302ZDTx	Cortex-M4	DIE446	64	384	1
STM32F302ZETx	Cortex-M4	DIE446	64	512	1
STM32F303C6Tx	Cortex-M4	DIE438	12	32	1
STM32F303C8Tx	Cortex-M4	DIE438	12	64	1
STM32F303C8Yx	Cortex-M4	DIE438	12	64	1
STM32F303CBTx	Cortex-M4	DIE422	32	128	1
STM32F303CCTx	Cortex-M4	DIE422	40	256	1
STM32F303K6Tx	Cortex-M4	DIE438	12	32	1
STM32F303K6Ux	Cortex-M4	DIE438	12	32	1
STM32F303K8Tx	Cortex-M4	DIE438	12	64	1
STM32F303K8Ux	Cortex-M4	DIE438	12	64	1
STM32F303R6Tx	Cortex-M4	DIE438	12	32	1
STM32F303R8Tx	Cortex-M4	DIE438	12	64	1
STM32F303RBTx	Cortex-M4	DIE422	32	128	1
STM32F303RCTx	Cortex-M4	DIE422	40	256	1
STM32F303RDTx	Cortex-M4	DIE446	64	384	1
STM32F303RETx	Cortex-M4	DIE446	64	512	1
STM32F303VBTx	Cortex-M4	DIE422	32	128	1
STM32F303VCTx	Cortex-M4	DIE422	40	256	1
STM32F303VCYx	Cortex-M4	DIE422	40	256	1
STM32F303VDHx	Cortex-M4	DIE446	64	384	1
STM32F303VDTx	Cortex-M4	DIE446	64	384	1
STM32F303VEHx	Cortex-M4	DIE446	64	512	1
STM32F303VETx	Cortex-M4	DIE446	64	512	1
STM32F303VEYx	Cortex-M4	DIE446	64	512	1
STM32F303ZDTx	Cortex-M4	DIE446	64	384	1
STM32F303ZETx	Cortex-M4	DIE446	64	512	1
STM32F318C8Tx	Cortex-M4	DIE439	16	64	1
STM32F318C8Yx	Cortex-M4	DIE439	16	64	1
STM32F318K8Ux	Cortex-M4	DIE439	16	64	1
STM32F328C8Tx	Cortex-M4	DIE438	12	64	1
STM32F334C4Tx	Cortex-M4	DIE438	12	16	1
STM32F334C6Tx	Cortex-M4	DIE438	12	32	1
STM32F334C8Tx	Cortex-M4	DIE438	12	64	1
STM32F334C8Yx	Cortex-M4	DIE438	12	64	1
STM32F334K4Tx	Cortex-M4	DIE438	12	16	1
STM32F334K4Ux	Cortex-M4	DIE438	12	16	1
STM32F334K6Tx	Cortex-M4	DIE438	12	32	1
STM32F334K6Ux	Cortex-M4	DIE438	12	32	1
STM32F334K8Tx	Cortex-M4	DIE438	12	64	1
STM32F334K8Ux	Cortex-M4	DIE438	12	64	1
STM32F334R6Tx	Cortex-M4	DIE438	12	32	1
STM32F334R8Tx	Cortex-M4	DIE438	12	64	1
STM32F358CCTx	Cortex-M4	DIE422	40	256	1
STM32F358RCTx	Cortex-M4	DIE422	40	256	1
STM32F358VCTx	Cortex-M4	DIE422	40	256	1
STM32F373C8Tx	Cortex-M4	DIE432	16	64	1
STM32F373CBTx	Cortex-M4	DIE432	24	128	1
STM32F373CCTx	Cortex-M4	DIE432	32	256	1
STM32F373R8Tx	Cortex-M4	DIE432	16	64	1
STM32F373RBTx	Cortex-M4	DIE432	24	128	1
STM32F373RCTx	Cortex-M4	DIE432	32	256	1
STM32F373V8Hx	Cortex-M4	DIE432	16	64	1
STM32F373V8Tx	Cortex-M4	DIE432	16	64	1
STM32F373VBHx	Cortex-M4	DIE432	24	128	1
STM32F373VBTx	Cortex-M4	DIE432	24	128	1
STM32F373VCHx	Cortex-M4	DIE432	32	256	1
STM32F373VCTx	Cortex-M4	DIE432	32	256	1
STM32F378CCTx	Cortex-M4	DIE432	32	256	1
STM32F378RCTx	Cortex-M4	DIE432	32	256	1
STM32F378RCYx	Cortex-M4	DIE432	32	256	1
STM32F378VCHx	Cortex-M4	DIE432	32	256	1
STM32F378VCTx	Cortex-M4	DIE432	32	256	1
STM32F398VETx	Cortex-M4	DIE446	64	512	1
STM32F401CBUx	Cortex-M4	DIE423	64	128	1
STM32F401CBYx	Cortex-M4	DIE423	64	128	1
STM32F401CCFx	Cortex-M4	DIE423	64	256	1
STM32F401CCUx	Cortex-M4	DIE423	64	256	1
STM32F401CCYx	Cortex-M4	DIE423	64	256	1
STM32F401CDUx	Cortex-M4	DIE433	96	384	1
STM32F401CDYx	Cortex-M4	DIE433	96	384	1
STM32F401CEUx	Cortex-M4	DIE433	96	512	1
STM32F401CEYx	Cortex-M4	DIE433	96	512	1
STM32F401RBTx	Cortex-M4	DIE423	64	128	1
STM32F401RCTx	Cortex-M4	DIE423	64	256	1
STM32F401RDTx	Cortex-M4	DIE433	96	384	1
STM32F401RETx	Cortex-M4	DIE433	96	512	1
STM32F401VBHx	Cortex-M4	DIE423	64	128	1
STM32F401VBTx	Cortex-M4	DIE423	64	128	1
STM32F401VCHx	Cortex-M4	DIE423	64	256	1
STM32F401VCTx	Cortex-M4	DIE423	64	256	1
STM32F401VDHx	Cortex-M4	DIE433	96	384	1
STM32F401VDTx	Cortex-M4	DIE433	96	384	1
STM32F401VEHx	Cortex-M4	DIE433	96	512	1
STM32F401VETx	Cortex-M4	DIE433	96	512	1
STM32F405OEYx	Cortex-M4	DIE413	128	512	1
STM32F405OGYx	Cortex-M4	DIE413	128	1024	1
STM32F405RGTx	Cortex-M4	DIE413	128	1024	1
STM32F405VGTx	Cortex-M4	DIE413	128	1024	1
STM32F405ZGTx	Cortex-M4	DIE413	128	1024	1
STM32F407IEHx	Cortex-M4	DIE413	128	512	1
STM32F407IETx	Cortex-M4	DIE413	128	512	1
STM32F407IGHx	Cortex-M4	DIE413	128	1024	1
STM32F407IGTx	Cortex-M4	DIE413	128	1024	1
STM32F407VETx	Cortex-M4	DIE413	128	512	1
STM32F407VGTx	Cortex-M4	DIE413	128	1024	1
STM32F407ZETx	Cortex-M4	DIE413	128	512	1
STM32F407ZGTx	Cortex-M4	DIE413	128	1024	1
STM32F410C8Tx	Cortex-M4	DIE458	32	64	1
STM32F410C8Ux	Cortex-M4	DIE458	32	64	1
STM32F410CBTx	Cortex-M4	DIE458	32	128	1
STM32F410CBUx	Cortex-M4	DIE458	32	128	1
STM32F410R8Ix	Cortex-M4	DIE458	32	64	1
STM32F410R8Tx	Cortex-M4	DIE458	32	64	1
STM32F410RBIx	Cortex-M4	DIE458	32	128	1
STM32F410RBTx	Cortex-M4	DIE458	32	128	1
STM32F410T8Yx	Cortex-M4	DIE458	32	64	1
STM32F410TBYx	Cortex-M4	DIE458	32	128	1
STM32F411CCUx	Cortex-M4	DIE431	128	256	1
STM32F411CCYx	Cortex-M4	DIE431	128	256	1
STM32F411CEUx	Cortex-M4	DIE431	128	512	1
STM32F411CEYx	Cortex-M4	DIE431	128	512	1
STM32F411RCTx	Cortex-M4	DIE431	128	256	1
STM32F411RETx	Cortex-M4	DIE431	128	512	1
STM32F411VCHx	Cortex-M4	DIE431	128	256	1
STM32F411VCTx	Cortex-M4	DIE431	128	256	1
STM32F411VEHx	Cortex-M4	DIE431	128	512	1
STM32F411VETx	Cortex-M4	DIE431	128	512	1
STM32F412CEUx	Cortex-M4	DIE441	256	512	1
